,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players
10,151705,Al-Hazm,Al Taawon,1,1,King Abdullah Sport City Stadium,"Ivan Bebek, Croatia",2018-09-13T18:50:00+03:00,2018/2019,D. Isăilă,Pedro Emanuel,4-3-3,4-3-3,"[('M. Asselah', 'G'), ('Alemão', 'D'), ('Khaled Al Barakah', 'D'), ('Saif Hussain', 'D'), ('Muralha', 'M'), ('Rodolfo', 'M'), ('Yousef Qalfa', 'M'), ('Masood Bekheet', 'D'), ('Ismael Musallami', 'M'), ('J. Pajoy', 'F'), ('G. Álvarez', 'F')]","[('Cássio', None), ('Ricardo Machado', 'D'), ('Ibrahim Al Zubaidi', 'D'), ('Talal Alabsi', 'D'), ('Saeed Al Dosari', 'M'), ('Madallah Alolayan', 'D'), ('Ryan Al Mousa', 'M'), ('C. Amissi', 'M'), ('Jhonnattann', 'M'), ('L. Tawamba Kana', 'F'), ('Abdulfattah Mohamed Adam', None)]"
11,151706,Al-Nassr,Al-Faisaly FC,2,1,Prince Faisal bin Fahd Stadium,V. Kassai,2018-09-14T18:40:00+03:00,2018/2019,D. Carreño,M. Rednic,4-2-3-1,4-4-2,"[('B. Jones', 'G'), ('Bruno Uvini', 'D'), ('Omar Hawsawi', 'D'), ('Giuliano', 'M'), ('Yehya Al Shehri', 'M'), ('Petros', 'M'), ('Ibrahim Ghaleb', 'M'), ('Hamed Al Mansour', 'D'), ('Sultan Al Ghanam', 'D'), ('Mohammad Al Sahlawi', 'F'), ('A. Musa', 'F')]","[('Mustafa Malayekah', 'G'), ('A. Puljić', 'D'), ('Igor Rossi', 'D'), ('Aqeel Al Sahbi', 'D'), ('K. Hyland', 'M'), ('Mohammed Abusabaan', 'M'), ('Luisinho', 'M'), ('Abdulaziz Al Bishi', None), ('Hamdan Al Shamrani', 'D'), ('Rogerinho', 'M'), ('D. Calderón', 'F')]"
12,151707,Al-Fayha,Al Shabab,1,3,Prince Salman Bin Abdulaziz Sport City Stadium,"Simon Lee Evans, Wales",2018-09-14T18:45:00+03:00,2018/2019,G. Costas,M. Şumudică,4-1-4-1,4-4-2,"[('C. Bonilla', 'G'), ('Naldo', 'M'), ('Nawaf Al Sabhi', None), ('Ahmed Bamsaud', None), ('Sami Al Khaibari', None), ('Tawfiq Buhumaid', 'D'), ('D. Moreno', 'M'), ('Abdulrahman Al Barakah', 'M'), ('Abdullah Al Salem', None), ('Daifallah Al Qarni', None), ('R. Fernández', 'F')]","[('F. Ben Mustapha', 'G'), ('D. Benlamri', 'D'), ('V. Găman', 'D'), ('Saleh Al Qumayzi', 'D'), ('Euller', 'D'), ('Hattan Babhir', 'M'), ('Luiz Antônio', 'M'), ('Abdullah Alkhaibari', 'M'), ('C. Budescu', 'F'), ('Nasser Al Shamrani', 'F'), ('Arthur Caike', 'M')]"
13,151708,Ohod,Al-Ahli Jeddah,0,2,Prince Mohammed bin Abdul Aziz Stadium,O. Hațegan,2018-09-14T20:30:00+03:00,2018/2019,F. Arce,P. Guede,4-1-4-1,4-3-1-2,"[('Z. Laaroubi', 'G'), ('Apodi', 'D'), ('A. Teikeu', 'D'), ('E. Sipović', 'D'), ('Sami Kassar', 'D'), ('Tamer Haj Mohamad', 'M'), ('C. Ohene', 'M'), ('Rayed Al Ghamdi', 'F'), ('Mohmad Atiah', 'M'), ('Ribamar', 'F'), ('Mohameed Eldaw', 'M')]","[('Mohammed Al Owais', 'G'), ('Alexis', 'D'), ('Mohamed Abdul Shafy', 'D'), ('Mohammed Al Fatil', 'D'), ('Saeed Al Mowalad', 'D'), ('José Jurado', 'M'), ('Souza', 'M'), ('Abdalla El Said', 'M'), ('Hussain Al Mogahwi', 'M'), ('Djaniny', 'F'), ('Omar Al Somah', 'F')]"
14,151709,Al-Raed,Al-Hilal Saudi FC,1,3,King Abdullah Sport City Stadium,Artur Soares Dias,2018-09-15T18:50:00+03:00,2018/2019,B. Hasi,Jorge Jesus,4-2-3-1,4-3-3,"[('A. Doukha', 'G'), ('Yahya Al Muslem', 'D'), ('Mohammed Al Amri', None), ('Abdullah Al Fahad', 'D'), ('Abdullah Al Shamekh', 'D'), ('A. Hammoudan', 'M'), ('Daniel Amora', 'M'), ('Sultan Al Sawadi', 'M'), ('Sultan Farhan', 'M'), ('Y. El Ghanassy', 'M'), ('F. Hasani', 'M')]","[('Ali Al Habsi', 'G'), ('Botía', 'D'), ('Yasir Al Shahrani', 'D'), ('Mohammed Al Burayk', 'D'), ('Ali Albulayhi', 'D'), ('Omar Abdulrahman', 'M'), ('Carlos Eduardo', 'M'), ('Salman Al Faraj', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F'), ('Omar Khribin', 'F')]"
15,151710,Al-Ittihad FC,Al-Qadisiyah FC,0,3,King Abdullah Sports City,M. Mažić,2018-09-15T20:45:00+03:00,2018/2019,R. Díaz,A. Stanojević,4-2-3-1,4-4-2,"[('Rakan Najjar', 'G'), ('M. Jurman', 'D'), ('Thiago Carleto', 'M'), ('Ahmad Asiri', 'D'), ('Ammar Al Daheem', 'D'), ('K. El Ahmadi', 'M'), ('C. Villanueva', 'M'), ('Romarinho', 'F'), ('Jonas', 'M'), ('A. Pešić', 'F'), ('Fahad Al Muwallad', 'F')]","[('J. Duncan', 'G'), ('Adnan Falatah', None), ('R. Williams', 'D'), ('Mohammed Al Khabrani', None), ('Yaseen Barnawi', 'D'), ('Élton', 'M'), ('Yago', 'M'), ('Hassan Alamiri', 'M'), ('N. Hervé', 'M'), ('Jorginho', 'M'), ('Bismark', 'M')]"
16,151711,Al-Qadisiyah FC,Al-Nassr,0,3,Prince Saud bin Jalawi Stadium,Artur Soares Dias,2018-09-19T20:20:00+03:00,2018/2019,A. Stanojević,D. Carreño,4-2-2-2,4-2-3-1,"[('J. Duncan', 'G'), ('Adnan Falatah', None), ('R. Williams', 'D'), ('Mohammed Al Khabrani', None), ('Yaseen Barnawi', 'D'), ('Élton', 'M'), ('Yago', 'M'), ('N. Hervé', 'M'), ('Jorginho', 'M'), ('Bismark', 'M'), ('Haroune Camara', 'F')]","[('B. Jones', 'G'), ('Bruno Uvini', 'D'), ('Omar Hawsawi', 'D'), ('Giuliano', 'M'), ('Petros', 'M'), ('Abdulaziz Al Jebreen', 'M'), ('Hamed Al Mansour', 'D'), ('Sultan Al Ghanam', 'D'), ('N. Amrabat', 'M'), ('A. Musa', 'F'), ('A. Hamdallah', 'F')]"
17,151712,Al Shabab,Al-Fateh,1,1,Prince Faisal bin Fahd Stadium,P. Raczkowski,2018-09-20T18:30:00+03:00,2018/2019,M. Şumudică,F. Al Jabal,4-4-2,4-2-3-1,"[('F. Ben Mustapha', 'G'), ('Mohammed Salem', None), ('V. Găman', 'D'), ('Saleh Al Qumayzi', 'D'), ('Euller', 'D'), ('Hattan Babhir', 'M'), ('Luiz Antônio', 'M'), ('Abdulmajeed Al Sulaiheem', 'M'), ('C. Budescu', 'F'), ('Nasser Al Shamrani', 'F'), ('Arthur Caike', 'M')]","[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('Majed Hazazi', 'D'), ('M. Naamani', 'D'), ('Ali Alawjami', None), ('T. Nzuzi', 'M'), ('Mohammed Alfehaid', 'M'), ('A. Oueslati', 'M'), ('I. Chenihi', 'M'), ('Mansour Hamzi', 'M'), ('Alkhali Bangoura', 'M')]"
18,151713,Al Taawon,Al-Ittihad FC,5,3,King Abdullah Sport City Stadium,S. Evans,2018-09-20T18:45:00+03:00,2018/2019,Pedro Emanuel,Bandar Basryh,4-3-3,4-3-3,"[('Cássio', None), ('Ricardo Machado', 'D'), ('Ibrahim Al Zubaidi', 'D'), ('Talal Alabsi', 'D'), ('Jehad Al Hussain', 'M'), ('Sandro Manoel', 'M'), ('Saeed Al Dosari', 'M'), ('Madallah Alolayan', 'D'), ('Héldon', 'M'), ('C. Amissi', 'M'), ('L. Tawamba Kana', 'F')]","[('Assaf Al Qarni', 'G'), ('M. Jurman', 'D'), ('Mansour Al Harbi', 'D'), ('Ahmad Asiri', 'D'), ('K. El Ahmadi', 'M'), ('C. Villanueva', 'M'), ('Jonas', 'M'), ('Omar Al-Mazial', None), ('A. Pešić', 'F'), ('Fahad Al Muwallad', 'F'), ('Abdulrahman Al Ghamdi', 'M')]"
19,151714,Al-Hilal Saudi FC,Al Baten,3,1,King Saud University Stadium,D. Skomina,2018-09-20T20:45:00+03:00,2018/2019,Jorge Jesus,F. Vercauteren,4-3-3,4-1-4-1,"[('Ali Al Habsi', 'G'), ('Mohammed Jahfali', 'D'), ('Hasan Kadesh', 'D'), ('Mohammed Al Burayk', 'D'), ('Ali Albulayhi', 'D'), ('Omar Abdulrahman', 'M'), ('Carlos Eduardo', 'M'), ('Salman Al Faraj', 'M'), ('Salem Al Dawsari', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F')]","[('Adriano Facchini', 'G'), ('Lucas', 'D'), ('Sultan Msarhi', None), ('Bandar Al Mutairi', 'D'), ('J. Arango', 'M'), ('Baraka', 'M'), ('M. Riascos', 'M'), ('Majed Kanabah', 'M'), ('Mhana Al Enazi', 'D'), ('A. Bouhaddouz', 'F'), ('Crysan', 'M')]"
