,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players,round,status
187,312923,Al-Ittihad FC,Al-Ahli Jeddah,1,2,King Abdullah Sports City,,2020-08-09T21:00:00+03:00,2019/2020,,,,,,,24,Match Finished
188,312924,Al Shabab,Al Taawon,1,0,Prince Faisal bin Fahd Stadium,,2020-08-10T19:05:00+03:00,2019/2020,,,,,,,24,Match Finished
189,312922,Abha,Al-Nassr,0,2,Prince Sultan bin Abdul Aziz Stadium,,2020-08-10T19:15:00+03:00,2019/2020,,,,,,,24,Match Finished
190,312918,Al-Hazm,Al-Adalah,1,2,Al Hazem Club Stadium,,2020-08-10T19:20:00+03:00,2019/2020,,,,,,,24,Match Finished
191,312925,Al-Hilal Saudi FC,Al-Fateh,2,1,King Saud University Stadium,,2020-08-10T21:00:00+03:00,2019/2020,,,,,,,24,Match Finished
192,312931,Al-Fateh,Abha,,,Prince Abdullah bin Jalawi Sports City Stadium,,2020-08-14T18:55:00+03:00,2019/2020,,,,,,,25,Not Started
193,312932,Al-Fayha,Al Shabab,,,Al Majma'ah Sports City Stadium,,2020-08-14T19:10:00+03:00,2019/2020,,,,,,,25,Not Started
194,312930,Al-Raed,Al-Hazm,,,King Abdullah bin Abdulaziz City,,2020-08-14T19:15:00+03:00,2019/2020,,,,,,,25,Not Started
195,312933,Al-Ittihad FC,Al-Ettifaq,,,King Abdullah Sports City,,2020-08-14T20:50:00+03:00,2019/2020,,,,,,,25,Not Started
196,312926,Al-Adalah,Al-Hilal Saudi FC,,,Prince Abdullah bin Jalawi Sports City Stadium,,2020-08-15T18:55:00+03:00,2019/2020,,,,,,,25,Not Started
197,312928,Al-Faisaly FC,Al-Ahli Jeddah,,,Al Majma'ah Sports City Stadium,,2020-08-15T19:10:00+03:00,2019/2020,,,,,,,25,Not Started
198,312929,Al Taawon,Dhamk,,,King Abdullah bin Abdulaziz City,,2020-08-15T19:15:00+03:00,2019/2020,,,,,,,25,Not Started
199,312927,Al-Nassr,Al Wehda Club,,,King Fahd International Stadium,,2020-08-15T20:50:00+03:00,2019/2020,,,,,,,25,Not Started
200,312936,Al-Fateh,Al-Ettifaq,,,Prince Abdullah bin Jalawi Sports City Stadium,,2020-08-19T18:50:00+03:00,2019/2020,,,,,,,26,Not Started
201,312937,Al-Faisaly FC,Al-Ittihad FC,,,Al Majma'ah Sports City Stadium,,2020-08-19T19:05:00+03:00,2019/2020,,,,,,,26,Not Started
202,312939,Abha,Al-Hazm,,,Prince Sultan bin Abdul Aziz Stadium,,2020-08-19T19:10:00+03:00,2019/2020,,,,,,,26,Not Started
203,312938,Al-Raed,Al Shabab,,,King Abdullah Sport City Stadium,,2020-08-19T20:55:00+03:00,2019/2020,,,,,,,26,Not Started
204,312934,Al-Adalah,Al Wehda Club,,,Prince Abdullah bin Jalawi Sports City Stadium,,2020-08-20T18:50:00+03:00,2019/2020,,,,,,,26,Not Started
205,312935,Al-Fayha,Dhamk,,,Al Majma'ah Sports City Stadium,,2020-08-20T19:05:00+03:00,2019/2020,,,,,,,26,Not Started
206,312940,Al Taawon,Al-Nassr,,,King Abdullah Sport City Stadium,,2020-08-20T19:10:00+03:00,2019/2020,,,,,,,26,Not Started
207,312941,Al-Ahli Jeddah,Al-Hilal Saudi FC,,,King Abdullah Sports City,,2020-08-20T20:55:00+03:00,2019/2020,,,,,,,26,Not Started
208,313276,Al-Ettifaq,Al-Raed,,,Prince Mohamed bin Fahd Stadium,,2020-08-24T18:45:00+03:00,2019/2020,,,,,,,27,Not Started
